"SampleID","Reindeer.ecotype.metadata","Spec.nation.metadata","Reindeer.ecotype.masterlist","Spec.genus","Spec.species","Spec.subspecies","Spec.nation.masterlist"
"Rt009","arctic","Norway","Svalbard","Rangifer","tarandus","platyrhynchus Vrolik/spitzbergensis Murray","Norway"
"Rt022","arctic","Norway","Svalbard","Rangifer","tarandus","platyrhynchus Vrolik","Norway"
"Rt023","arctic","Norway","Svalbard","Rangifer","tarandus","platyrhynchus Vrolik","Norway"
"Rt029","arctic","Norway","Svalbard","Rangifer","tarandus","spitsbergii","Norway"
"Rt035","arctic","Norway","Svalbard","Rangifer","tarandus","platyrhynchus Vrolik","Norway"
"Rt054","arctic","Norway","Svalbard","Rangifer","tarandus","platyrhynchus Vrolik/spitzbergensis Murray","Norway"
"Rt066","arctic","Norway","Svalbard","Rangifer","tarandus","platyrhynchus Vrolik/spitzbergensis Murray","Norway"
"Rt031","forest","unknown","forest","Rangifer","tarandus",NA,NA
"Rt048","forest","unknown","forest","Rangifer","tarandus","tarandus L.",NA
"Rt053","forest","Sweden","forest","Rangifer","tarandus","fennicus, Lönuberg","Sweden?"
"Rt010","mountain","Sweden","mountain","Rangifer","tarandus","tarandus L.","Sweden"
"Rt014","mountain","Norway","wild","Rangifer","tarandus","tarandus L.",NA
"Rt015","mountain","Sweden","mountain","Rangifer","tarandus","tarandus","Sweden"
"Rt016","mountain","Sweden","mountain","Rangifer","tarandus","tarandus","Sweden"
"Rt017","mountain","Sweden","mountain","Rangifer","tarandus","tarandus L.","Sweden"
"Rt018","mountain","Sweden","mountain","Rangifer","tarandus","tarandus L.","Sweden"
"Rt019","mountain","Sweden","mountain","Rangifer","tarandus","tarandus L.","Sweden"
"Rt020","mountain","Sweden","mountain","Rangifer","tarandus","L.","Sweden"
"Rt027","mountain","Norway","wild","Rangifer","tarandus","tarandus L.","Norway"
"Rt034","mountain","Russia","wild","Rangifer","tarandus",NA,NA
"Rt038","mountain","Russia","wild","Rangifer","tarandus",NA,NA
"Rt047","mountain","Russia","wild","Rangifer","tarandus",NA,NA
"Rt057","mountain","Russia",NA,"Rangifer","tarandus",NA,NA
"Rt064","mountain","Sweden","mountain","Rangifer","tarandus","tarandus L.","Sweden"
"Rt024","tame","Sweden","tame","Rangifer","tarandus","fennicus","Sweden"
"Rt025","tame","Sweden","tame","Rangifer","tarandus","fennicus, Lönuberg","Sweden"
"Rt026","tame","Sweden","tame","Rangifer","tarandus","fennicus Lönuberg","Sweden"
"Rt028","tame","Sweden","tame","Rangifer","tarandus","fennicus Lönuberg","Sweden"
"Rt050","tame","Sweden","?tame","Rangifer","tarandus",NA,"Sweden"
"Art039","unknown","unknown",NA,NA,NA,NA,NA
"Rt012","unknown","Russia","wild","Rangifer","tarandus",NA,"Russia"
"Rt021","unknown","unknown","wild","Rangifer","tarandus",NA,NA
"Rt041","unknown","unknown","wild","Rangifer","tarandus","Läufillel (?)",NA
"Rt049","unknown","Russia",NA,"Rangifer","tarandus",NA,NA
"Rt058","unknown","Greenland","wild","Rangifer","tarandus","grönlandicus","Greenland"
"Art040",NA,"Russia",NA,NA,NA,NA,NA
"Rt030",NA,"Hungary",NA,"Rangifer","tarandus",NA,"Hungary"
"Rt032",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt033",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt037",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt042",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt044",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt045",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt046",NA,"Hungary",NA,"Rangifer","tarandus",NA,"Hungary"
"Rt051",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt055",NA,"Russia",NA,"Rangifer","tarandus",NA,"Russia"
"Rt056",NA,"Russia",NA,"Rangifer","tarandus",NA,"Russia"
"Rt060",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt061",NA,"Sweden",NA,"Rangifer","tarandus",NA,"Sweden"
"Rt065",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
"Rt068",NA,"Belgium",NA,"Rangifer","tarandus",NA,"Belgium"
