SampleID,Spec.county,Spec.district,Spec.kommun,Spec.stated.locality,Spec.locality,Spec.nation.metadata,Reindeer.ecotype.metadata
Rt009,Svalbard,Spitsbergen,Spitsbergen,NA,Spitzbergen,Norway,arctic
Rt022,Svalbard,Spitsbergen,Spitsbergen,NA,Spetsbergen,Norway,arctic
Rt023,Svalbard,Spitsbergen,Spitsbergen,NA,Spetsbergen,Norway,arctic
Rt029,Svalbard,Spitsbergen,Spitsbergen,NA,Coal Bay, Spetsbergen,Norway,arctic
Rt035,Svalbard,Spitsbergen,Spitsbergen,NA,Spitzbergen,Norway,arctic
Rt054,Svalbard,Spitsbergen,Spitsbergen,NA,Spetsbergen,Norway,arctic
Rt066,Svalbard,NA,Spitsbergen,NA,Spitzbergen,Norway,arctic
Rt031,NA,NA,NA,NA,NA,unknown,forest
Rt048,NA,NA,NA,NA,Lappland,unknown,forest
Rt053,Norrbotten,Pajala?,Pajala,NA,Pajalu,Sweden,forest
Rt010,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt014,Aust-Agder,NA,Aust-Agder_unknown,NA,SW Norway,Norway,mountain
Rt015,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt016,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt017,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt018,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt019,Norrbotten,Kiruna,Kiruna,NA,Karesuando, Fjälren,Sweden,mountain
Rt020,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt027,Aust-Agder,Njurdarheim,Aust-Agder_unknown,NA,SW Norway,Norway,mountain
Rt034,Bely Island,NA,Bely Island,NA,NA,Russia,mountain
Rt038,Bely Island,NA,Bely Island,NA,NA,Russia,mountain
Rt047,Bely Island,NA,Bely Island,NA,NA,Russia,mountain
Rt057,Bely Island,NA,Bely Island,NA,NA,Russia,mountain
Rt064,Norrbotten,Kiruna,Kiruna,NA,Karesuando,Sweden,mountain
Rt024,Norrbotten,Pajala,Pajala,NA,Kengis bruk, Sahlberg,Sweden,tame
Rt025,Norrbotten,Pajala,Pajala,NA,Kengis bruk, Sahlberg,Sweden,tame
Rt026,Norrbotten,Pajala,Pajala,NA,Kengis bruk, Sahlberg,Sweden,tame
Rt028,Norrbotten,Pajala,Pajala,NA,Kengis bruk, Sahlberg,Sweden,tame
Rt050,Vastra Gotaland,Bohuslän,Sotenas,NA,zoo (Götaland),Sweden,tame
Rt012,Anjou Islands,Faddeevskiy,Anjou Islands,NA,NA,Russia,unknown
Rt021,NA,NA,NA,NA,NA,unknown,unknown
Rt041,NA,NA,NA,NA,Läufillel (?),unknown,unknown
Rt049,Kamtschatka,NA,Kamtschatka,NA,NA,Russia,unknown
Rt058,Greenland_NE,NA,Greenland_NE,NA,Groenland,Greenland,unknown
Rt030,Sagvar,NA,Sagvar,NA,NA,Hungary,NA
Rt032,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt033,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt037,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt042,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt044,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt045,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt046,Pesko,NA,Pesko,NA,NA,Hungary,NA
Rt051,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt055,Tatarstan,NA,Pestrechinsky,NA,NA,Russia,NA
Rt056,Tatarstan,NA,Pestrechinsky,NA,NA,Russia,NA
Rt060,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt061,Norrbotten,NA,Gallivare,NA,NA,Sweden,NA
Rt065,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt068,Trou Al Wesse,NA,Trou Al Wesse,NA,NA,Belgium,NA
Rt039,NA,NA,NA,NA,NA,NA,NA
Rt040,Tatarstan,NA,Pestrechinsky,NA,NA,NA,NA
