,pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig
1,Svalbard vs mountain,1,0.656184558,4.003281722,0.266827071,0.002,0.042,.
2,Svalbard vs wild,1,0.432930355,2.587521886,0.165999567,0.003,0.063,
3,Svalbard vs tame,1,0.612499857,2.885101849,0.265050515,0.007,0.147,
4,Svalbard vs pre-historic,1,0.366552934,1.980468916,0.16530813,0.023,0.483,
5,Svalbard vs forest,1,0.200442783,0.648268933,0.097509433,0.932,1,
6,Svalbard vs ,1,0.608562504,1.873459781,0.272564304,0.292,1,
7,mountain vs wild,1,0.966814648,18.54714186,0.569854703,0.001,0.021,.
8,mountain vs tame,1,0.195831088,6.964311141,0.436242509,0.005,0.105,
9,mountain vs pre-historic,1,0.657302385,17.82922131,0.618442695,0.002,0.042,.
10,mountain vs forest,1,0.10784605,1.841835571,0.208309186,0.208,1,
11,mountain vs ,1,0.841791454,28.23843957,0.824758369,0.123,1,
12,wild vs tame,1,0.756086339,13.30423617,0.547404003,0.005,0.105,
13,wild vs pre-historic,1,0.106000295,1.772136309,0.119964795,0.011,0.231,
14,wild vs forest,1,0.207356212,2.386643758,0.209600283,0.115,1,
15,wild vs ,1,0.820265584,11.91114417,0.598214953,0.1,1,
16,tame vs pre-historic,1,0.644843384,17.14530542,0.681849162,0.009,0.189,
17,tame vs forest,1,0.08893344,1.165474404,0.225627757,0.333333333,1,
18,tame vs ,1,0.77457081,31.31167255,0.912566198,0.2,1,
19,pre-historic vs forest,1,0.183480367,2.405322828,0.286166621,0.079,1,
20,pre-historic vs ,1,0.792738055,17.486488,0.777644246,0.146,1,
21,forest vs ,1,0.577757947,2.500962508,0.714364265,0.333333333,1,
